Name,JD,P[%],sP[%],PA[deg],sPA[deg],q,sq,u,su,ra,dec,gid,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,mu,sigma_d,rel_sigma_d,s_mu
Mark_128,2460461.3976,0.28,0.06,27.93,6.37,0.157,0.056999999999999995,0.232,0.062,195.46991,20.37368,3941748743196409984,628.8739,615.9408,646.72986,8.992817853423363,15.394530000000032,0.02447951807190604,0.05315659809139861
Mark_305,2460438.31873,0.25,0.04,-87.98,5.21,-0.246,0.044000000000000004,-0.017,0.047,179.28236,16.80997,3926185293544329216,636.0663,624.99774,645.2355,9.017511932200007,10.11887999999999,0.015908530290002772,0.03454493460069471
Mark_105,2460459.35372,0.26,0.06,40.42,6.91,0.042,0.039,0.259,0.061,191.74118,21.92971,3955085200765500416,641.06146,626.3488,659.0996,9.034498341504527,16.375400000000013,0.0255441966515972,0.05546851825220092
Mark_261,2460431.2893,0.2,0.12,-86.42,22.92,-0.198,0.121,-0.025,0.131,173.92517,16.22557,3972673809101621760,644.2046,638.1974,649.98834,9.045119108064778,5.895469999999989,0.009151549057550954,0.019872336282806418
Mark_223,2460459.32691,0.28,0.03,50.13,3.12,-0.051000000000000004,0.065,0.27999999999999997,0.029,184.88745,18.07525,3947155381171521408,644.25854,635.7074,653.69366,9.045300920362237,8.993130000000008,0.01395888364941194,0.030311330712345652
Mark_219,2460432.33096,0.19,0.08,36.69,13.44,0.055,0.135,0.186,0.073,178.69035,16.60255,3926131932870192384,656.1129,650.52637,662.75055,9.084892883068932,6.1120899999999665,0.00931560711578749,0.02022858382982587
Mark_122,2460432.38738,0.19,0.08,30.57,13.4,0.091,0.078,0.165,0.077,184.34711,19.69882,3950652038602110336,670.89667,663.43945,678.43427,9.133278181288617,7.497410000000002,0.011175208247791724,0.02426665638067826
Mark_171,2460459.3878,0.17,0.05,16.05,9.26,0.14200000000000002,0.043,0.089,0.067,197.54263,22.04166,3943828263281804288,671.21124,663.08746,680.07275,9.134296102550062,8.492645000000039,0.012652715708396121,0.027475023066235144
Mark_106,2460461.38732,0.31,0.08,35.26,7.72,0.10300000000000001,0.045,0.291,0.083,194.83186,22.69265,3944543873553057792,677.2185,669.0891,686.05066,9.153644067460426,8.480779999999982,0.012522959724224873,0.027193261526637647
Mark_75,2460461.37286,0.27,0.08,40.35,9.45,0.044000000000000004,0.041,0.269,0.08499999999999999,191.89113,20.23809,3954305853179854336,677.55634,670.1459,685.64996,9.154727066985334,7.752029999999991,0.011441159269500734,0.024844161686602036
Mark_154,2460461.42809,0.38,0.06,56.85,4.54,-0.153,0.083,0.349,0.053,197.63448,20.63803,3943075780715683840,710.23645,702.6107,718.4233,9.257014784686138,7.906300000000044,0.011131926557697855,0.024172671384802193
Mark_44,2460438.44333,0.25,0.04,54.65,4.78,-0.082,0.051000000000000004,0.234,0.039,198.84341,21.31182,3943509370550073088,712.6661,704.053,720.8606,9.264430504149692,8.40379999999999,0.011792058019877738,0.025606128641579434
Mark_29_merged,2460426.34019,0.63,0.07,40.51,3.05,0.098,0.08,0.624,0.066,172.79477,15.85788,3967301805742507776,720.0945,711.5065,730.0696,9.286947469208224,9.281550000000038,0.012889349939487161,0.02798886777019643
Mark_84,2460460.31873,0.28,0.02,57.82,2.5,-0.122,0.039,0.253,0.019,184.5835,19.01308,3950288031533824896,724.68164,715.65375,733.715,9.300736292463515,9.030625000000043,0.012461506545136211,0.02705981764376956
Mark_110,2460438.38383,0.43,0.08,46.26,5.6,-0.019,0.077,0.42900000000000005,0.082,185.77832,18.27509,3947078655875746432,762.17694,749.43933,772.6609,9.41027902431763,11.610784999999964,0.015233713315965666,0.03307958816009988
