Name,JD,P[%],sP[%],PA[deg],sPA[deg],q,sq,u,su,ra,dec,gaia_id,l,b,rp_obslist,match_sep_arcsec,matched,has_coords
Mark_163,2460426.36879,0.79,0.06,34.52,2.23,0.00284,0.00034,0.00741,0.00065,172.77328,16.05559,3973325235381575680,239.55008,68.33592,11.67,0.0,True,True
Mark_164,2460426.37258,0.59,0.09,42.85,4.16,0.00045,0.00159,0.00593,0.00085,172.63016,15.81605,3967312319822453248,239.87449,68.08727,12.31,0.0,True,True
Mark_166,2460426.3763,0.28,0.08,45.79,8.08,-8e-05,0.00055,0.00283,0.00076,172.40683,15.99918,3967368394915479040,239.14651,68.01231,10.43,0.0,True,True
Mark_167,2460459.33816,0.3,0.05,47.58,4.85,-0.00027,0.00063,0.00299,0.0005,188.16794,18.48618,3947849589622523520,275.4004,80.33911,12.33,0.0,True,True
Mark_168,2460460.38925,0.1,0.06,86.29,20.5,-0.00097,0.00055,0.00013,0.00082,196.41862,21.67955,3944179591606733696,334.43206,83.66122,12.28,0.0,True,True
Mark_171,2460459.3878,0.17,0.05,16.05,9.26,0.00142,0.00043,0.00089,0.00067,197.54263,22.04166,3943828263281804288,343.86928,83.36765,11.99,0.0,True,True
Mark_182,2460459.32987,0.16,0.06,24.87,10.8,0.00104,0.00056,0.00123,0.00055,185.09541,20.1586,3952003647630392960,255.72809,80.04758,10.52,0.0,True,True
Mark_183,2460461.36847,0.42,0.05,47.5,3.41,-0.00037,0.00044,0.00422,0.0005,190.74332,20.88957,3954509297190984448,285.27513,83.46915,12.39,0.0,True,True
Mark_184,2460459.33311,0.19,0.07,30.61,12.24,0.00092,0.00068,0.00168,0.00075,187.15863,18.2637,3947782210175325568,271.10121,79.6969,12.35,0.0,True,True
Mark_188,2460426.38819,0.26,0.1,42.91,12.98,0.00019,0.00093,0.00255,0.00103,172.38278,16.02621,3967368669793386112,239.05219,68.00813,12.36,0.0,True,True
Mark_189,2460460.33664,0.25,0.06,45.6,6.9,-5e-05,0.00045,0.0025,0.00058,185.06535,19.8305,3950481854817995264,256.90123,79.79012,10.99,0.0,True,True
Mark_191,2460438.32729,0.4,0.04,69.9,2.93,-0.00304,0.00037,0.00257,0.00044,179.37923,16.02372,3925288573092374144,251.79121,73.27782,10.7,0.0,True,True
