#GID   RA    DEC     l     b     RP
3944248001850000000  196.06633  21.94103  332.96681  84.04952  12.45
3943326679820000000  197.02544  20.91662  335.29606  82.71717  12.43
3954742324940000000  192.44873  20.97344  299.35900  83.83379  11.94
3956489345830000000  193.70474  22.53549  312.59462  85.34367  11.50
3947111061400000000  186.11168  18.51133  265.73979  79.37847  11.87
3942818361850000000  194.15373  21.36414  314.77354  84.11649  11.69
3948712190850000000  188.01393  19.31386  272.26363  81.00864  11.63
3947282104180000000  185.47870  18.40985  263.45684  78.94647  10.83
3949012563690000000  187.21248  20.11445  265.34339  81.28759  11.54
3943614202110000000  199.18228  21.58553  350.38010  82.00924  10.79
3946836561450000000  184.32997  18.07283  260.19336  78.00855  11.81
3950466221140000000  184.93048  19.50224  257.61416  79.46238  11.94
3949617982280000000  188.06802  21.52798  263.97606  82.90081  11.67
3955913339180000000  191.71596  22.80342  289.20733  85.55276  12.18
3954703601510000000  191.34560  21.77153  288.18483  84.46905  10.21
3936093813160000000  190.73099  18.75162  289.33277  81.39770  11.91
3944302187150000000  196.16249  22.48074  336.46755  84.47003  11.36
3947737611240000000  188.25706  18.27198  276.39242  80.18140  11.31
3955117430200000000  191.93307  22.23035  292.98328  85.03036  11.68
3948806027300000000  187.85074  19.91053  269.42771  81.44769  11.96
