starID,EDR3_source_id,RA,Dec,Gmag,Nobs,RefID,EDR3_source_id_alt,RA_alt,Dec_alt,Gmag_alt
222,3314300338179020032,67.9851532223777,18.04839322669852,14.209128,1.0,0.0,3314300338179020032,nan,nan,nan
223,3314250172961018624,67.98585174025949,17.928805831361633,15.344462,1.0,0.0,3314250172961018624,nan,nan,nan
224,3314298139155783936,67.89568103288,17.964115079729236,15.624191,1.0,0.0,3314298139155783936,nan,nan,nan
225,3314300922294580224,67.91280408385042,18.04111125549534,15.092117,1.0,0.0,3314300922294580224,nan,nan,nan
227,3314303602354184064,67.74881451332827,18.073198647214515,14.985338,1.0,0.0,3314303602354184064,nan,nan,nan
228,3314301953086752768,67.74913184844944,17.99860841939112,14.749444,1.0,0.0,3314301953086752768,nan,nan,nan
229,3314208082281232128,67.72638657349002,17.973052944675235,13.696126,1.0,0.0,3314208082281232128,nan,nan,nan
230,3314220692305216128,67.62325586801232,18.01396696599792,16.163862,1.0,0.0,3314220692305216128,nan,nan,nan
231,3314222169773869056,67.5802090242666,18.06251377555286,16.451633,1.0,0.0,3314222169773869056,nan,nan,nan
232,3314316555975394048,67.61388619166762,18.135481867584712,15.840478,1.0,0.0,3314316555975394048,nan,nan,nan
234,3314312226646863488,67.91046150387777,18.23273881888034,17.63825,1.0,0.0,3314312226646863488,nan,nan,nan
235,3314312604603979520,67.91701990402878,18.232466612436607,11.979714,2.0,0.0,3314312604603979520,nan,nan,nan
236,149222458245146112,66.32988097182381,23.787973928986396,8.061336,1.0,1.0,149222458245146112,nan,nan,nan
237,165012853965799168,66.4094565555924,29.526657995581274,7.7910533,1.0,1.0,165012853965799168,nan,nan,nan
238,145674574739951872,66.34285323849276,22.29367359328652,4.167236,1.0,1.0,145674574739951872,nan,nan,nan
239,146189764657138944,66.46330577967144,23.562720624588223,8.839878,1.0,1.0,146189764657138944,nan,nan,nan
240,145727729255780736,66.57745017375387,22.813375430212513,4.228601,1.0,1.0,145727729255780736,nan,nan,nan
241,146107266922944128,66.69232507982034,23.033157685781163,8.862077,1.0,1.0,146107266922944128,nan,nan,nan
242,146197766178478592,66.79946648691583,23.512970374718115,8.667243,1.0,1.0,146197766178478592,nan,nan,nan
243,146100115802055168,66.82270498473629,22.9962662935208,5.497208,1.0,1.0,146100115802055168,nan,nan,nan
244,149456649923734400,66.89188362343474,25.06157083652768,8.814782,1.0,1.0,149456649923734400,nan,nan,nan
245,152635097523270528,67.07452669105759,27.78070771348669,7.6691875,1.0,1.0,152635097523270528,nan,nan,nan
246,145498859038429312,67.050630498639,22.332710693536157,8.743171,1.0,1.0,145498859038429312,nan,nan,nan
247,146125889903821056,67.13265459621361,23.162167589301045,8.883905,1.0,1.0,146125889903821056,nan,nan,nan
248,152189662169148288,67.33267104211592,27.40410788457411,6.5331535,1.0,1.0,152189662169148288,nan,nan,nan
249,153008489094656896,67.51558376774838,29.041045478334464,8.5595455,1.0,1.0,153008489094656896,nan,nan,nan
250,152668843080781184,67.58429603916107,28.132084531506273,6.344197,1.0,1.0,152668843080781184,nan,nan,nan
251,146239551916619904,67.59357965676887,23.588858434147564,7.0447345,1.0,1.0,146239551916619904,nan,nan,nan
252,150907081855211520,67.81836951648343,25.030175463831036,8.32606,1.0,1.0,150907081855211520,nan,nan,nan
253,159111294024944640,67.90073585778448,29.926916173018668,8.298158,1.0,1.0,159111294024944640,nan,nan,nan
254,145869325736739712,67.89923107006449,22.844904439556203,7.4814267,1.0,1.0,145869325736739712,nan,nan,nan
255,150915259472922112,68.09082000186766,25.185362045742842,7.425682,1.0,1.0,150915259472922112,nan,nan,nan
256,147785293465813760,68.37047207973036,24.279233289247927,7.719244,1.0,1.0,147785293465813760,nan,nan,nan
257,158774706027453056,68.65830879807767,28.961055396322497,5.865571,1.0,1.0,158774706027453056,nan,nan,nan
258,145185876179202432,68.63828323307783,22.71030479464438,8.738214,1.0,1.0,145185876179202432,nan,nan,nan
259,147617961540254976,68.70916974878709,24.2444322946876,8.822311,1.0,1.0,147617961540254976,nan,nan,nan
260,145184914105608704,68.6895362103947,22.692189032328844,6.707887,2.0,1.0,145184914105608704,nan,nan,nan
261,145227760700173568,68.82173637148654,23.044882719940937,8.699103,1.0,1.0,145227760700173568,nan,nan,nan
262,146740207663868032,69.12192707014619,23.34062116551096,5.919667,1.0,1.0,146740207663868032,nan,nan,nan
263,151905300975013120,69.28766950690756,27.92568889619898,7.397974,1.0,1.0,151905300975013120,nan,nan,nan
264,148409987868911616,69.35261862733086,25.727239828251466,7.038368,1.0,1.0,148409987868911616,nan,nan,nan
265,146669495322321024,69.50175802703534,22.989936794431706,9.448003,1.0,1.0,146669495322321024,nan,nan,nan
266,158893144045713920,69.60831487554351,29.38737227468201,8.530573,1.0,1.0,158893144045713920,nan,nan,nan
267,147668088102341376,69.54081827322611,24.55361570370333,8.836244,1.0,1.0,147668088102341376,nan,nan,nan
268,158013908405221120,69.61790932146573,28.71751861825137,8.228356,1.0,1.0,158013908405221120,nan,nan,nan
269,151588916504442752,69.6232019281889,26.938956650710878,7.1671243,1.0,1.0,151588916504442752,nan,nan,nan
270,146677879098433152,69.71422712830996,23.149732324476236,7.3807282,1.0,1.0,146677879098433152,nan,nan,nan
271,146458526528879488,69.80643622871466,22.652238097936195,8.511852,1.0,1.0,146458526528879488,nan,nan,nan
272,148144799407843200,69.84654335401946,25.2182298410236,6.171467,1.0,1.0,148144799407843200,nan,nan,nan
273,157974051108712704,69.91153792825007,28.78390511309831,8.629319,1.0,1.0,157974051108712704,nan,nan,nan
274,158941556916985344,70.09479973757315,29.97205370786895,6.713116,1.0,1.0,158941556916985344,nan,nan,nan
275,146821331005982336,70.20474448193156,23.809406701382763,8.684428,1.0,1.0,146821331005982336,nan,nan,nan
276,146870809029212032,70.24526797858873,23.939764347448875,9.238435,1.0,1.0,146870809029212032,nan,nan,nan
277,157860462109271808,70.33252610996236,28.614857770503317,5.728745,1.0,1.0,157860462109271808,nan,nan,nan
278,148478432468369536,70.28357970509515,25.992714863769375,7.8345375,1.0,1.0,148478432468369536,nan,nan,nan
279,146425678619163392,70.3495334120782,22.67678758301675,9.631367,1.0,1.0,146425678619163392,nan,nan,nan
280,157860148575621760,70.44695457317049,28.65991144095461,8.785846,1.0,1.0,157860148575621760,nan,nan,nan
281,146424299933806336,70.42790281898056,22.622850556264588,9.184073,1.0,1.0,146424299933806336,nan,nan,nan
282,157857262357600896,70.5542780494154,28.600250029034246,9.345122,1.0,1.0,157857262357600896,nan,nan,nan
283,146848750077282816,70.51701233245076,24.01072456314577,7.0869217,1.0,1.0,146848750077282816,nan,nan,nan
284,148324363400945792,70.77092461804553,26.24299186212923,8.04438,1.0,1.0,148324363400945792,nan,nan,nan
285,146841775050361472,70.80738729305786,24.08883165134901,6.02485,1.0,1.0,146841775050361472,nan,nan,nan
286,154660191781205120,70.89791880848558,27.686224341765087,7.729927,1.0,1.0,154660191781205120,nan,nan,nan
287,146515941651926912,70.97500102191887,22.944342950409627,6.905698,1.0,1.0,146515941651926912,nan,nan,nan
288,147213719217929856,71.0931225507532,24.08227464392989,8.074996,1.0,1.0,147213719217929856,nan,nan,nan
289,147248216395196672,71.3258246022885,24.410117034255105,8.943404,1.0,1.0,147248216395196672,nan,nan,nan
290,157816855305858176,71.45867898788698,28.660580417687168,6.740607,1.0,1.0,157816855305858176,nan,nan,nan
291,146953066243274240,71.42698955944151,23.627914942681986,6.2999415,1.0,1.0,146953066243274240,nan,nan,nan
292,158207048790655360,71.55088008660266,28.873533465911,8.608315,1.0,1.0,158207048790655360,nan,nan,nan
293,148248806336442624,71.55031236173353,26.035323673621754,7.610125,1.0,1.0,148248806336442624,nan,nan,nan
294,154751970940085504,71.637606388983,27.90067758351606,8.246405,1.0,1.0,154751970940085504,nan,nan,nan
295,146951348256485376,71.59452179980616,23.675088163028644,7.836456,1.0,1.0,146951348256485376,nan,nan,nan
296,146554695141049600,71.68999444289656,23.33089918594897,9.058685,1.0,1.0,146554695141049600,nan,nan,nan
297,158247146605003648,71.84177902518213,29.33320486458104,9.240302,1.0,1.0,158247146605003648,nan,nan,nan
298,147052022289786368,71.86558831410316,24.354844412084987,9.712382,1.0,1.0,147052022289786368,nan,nan,nan
299,3413035623359543424,71.86422583828714,22.304252711203976,8.571494,1.0,1.0,3413035623359543424,nan,nan,nan
300,158401834147095680,72.09479374117515,29.772892982305194,7.3953996,1.0,1.0,158401834147095680,nan,nan,nan
301,158231616003512576,72.07967592846063,29.235468488911007,6.802266,1.0,1.0,158231616003512576,nan,nan,nan
302,153479698545120512,72.02654354713545,25.807087312285095,8.825996,1.0,1.0,153479698545120512,nan,nan,nan
303,147169944911537664,72.14884400320614,24.74297927364983,8.161878,1.0,1.0,147169944911537664,nan,nan,nan
304,158347992437275392,72.31674842962512,29.571262325743035,7.212373,1.0,1.0,158347992437275392,nan,nan,nan
305,154413836753621248,72.27277739515966,27.01131415087824,7.9287624,1.0,1.0,154413836753621248,nan,nan,nan
306,155114534898555904,72.31557246771152,28.35081691032798,6.404439,1.0,1.0,155114534898555904,nan,nan,nan
