EDR3_source_id,starID,RA,Dec,Gmag,rawstarID,RefID,FilterID,IntrPol,p,e_p,evpa,e_evpa,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo
4687419176761641088,34367,17.092900212828454,-72.6348731719232,17.781029,4118,46,3,0,0.00789,0.00076,-82.2,nan,6937.3594,4332.392,12515.366,5668.1206,4457.7007,7635.699
4687419181054783360,34379,17.100481265336267,-72.63665093629638,18.848455,4130,46,3,0,0.02395,0.00608,-55.5,nan,5483.861,3941.9011,8136.8877,10676.316,3470.6528,15297.004
4687419181054785152,34364,17.09058947524189,-72.63767276340499,17.176184,4115,46,3,0,0.00255,5e-05,-78.5,nan,9261.519,7009.972,14316.5205,11963.655,7916.2256,12826.035
4687419181054795136,34344,17.081791103765994,-72.64608357904764,17.077856,4095,46,3,0,0.01302,0.00026,-87.7,nan,12459.282,9031.702,16872.2,12407.192,7331.5874,17259.875
4687419181054795520,34358,17.088043616269015,-72.6465887616207,18.395046,4109,46,3,0,0.00865,0.00062,88.1,nan,6259.1157,4499.528,9272.155,5876.5913,3744.1968,7593.954
4687419181080672000,34338,17.077941543130372,-72.64912768755636,16.80761,4089,46,3,0,0.00699,0.00105,-63.8,nan,9193.539,7108.749,13184.489,7591.249,6372.6064,9456.464
4687419211121278080,34232,17.01481897428317,-72.6478409314691,16.206846,3983,46,3,0,0.00359,4e-05,-82.4,nan,13820.423,10831.288,18457.303,8130.1274,7084.8315,9367.711
4687419211155849472,34291,17.049333930885805,-72.63652495763532,18.792114,4042,46,3,0,0.012,0.00078,8.5,nan,2457.032,1771.973,3562.7852,4411.069,3666.954,5735.6665
4687419215414527488,34278,17.042202829703143,-72.6398170564623,18.602684,4029,46,3,0,0.01177,0.00381,-70.2,nan,6447.219,4181.814,11901.822,8855.404,3277.2808,11943.574
4687419215440402688,34294,17.04915022587446,-72.63833176897498,18.076906,4045,46,3,0,0.02135,0.00096,71.3,nan,20087.725,11090.019,25575.08,6771.4106,5623.8203,8341.559
4687419215440403968,34266,17.033404220120293,-72.63882953632177,15.265651,4017,46,3,0,0.00511,0.0003,-77.8,nan,13776.431,10621.395,17558.297,nan,nan,nan
4687419215440407936,34221,17.010517777036295,-72.64428501956262,16.126425,3972,46,3,0,0.00504,0.00157,-70.3,nan,8109.4434,6810.605,10308.911,9004.925,6842.605,13876.724
4687419215440413568,34220,17.009929293099987,-72.6498461022354,18.481619,3971,46,3,0,0.00674,0.00159,81.4,nan,2230.268,1569.8153,3494.8904,1825.6383,1159.5284,2575.003
