# Star   JD           PD[%]   sPD  EPVA[deg] sEVPA     q       sq        u       su
Mark_44         2460438.44492     0.27   0.25   58.81   61.44 -0.00127  0.00260  0.00243  0.00253
Mark_44         2460438.44519     0.34   0.26   45.34   61.44 -0.00004  0.00262  0.00336  0.00256
Mark_44         2460438.44545     0.43   0.26   56.29   21.94 -0.00167  0.00261  0.00401  0.00256
Mark_44         2460438.44572     0.28   0.26   21.98   61.44  0.00202  0.00262  0.00195  0.00256
Mark_45         2460438.43650     0.12   0.09    1.70   61.44  0.00115  0.00090  0.00007  0.00088
Mark_45         2460438.43670     0.14   0.09   69.27   25.28 -0.00103  0.00090  0.00091  0.00088
Mark_45         2460438.43690     0.15   0.09   55.54   21.06 -0.00055  0.00090  0.00143  0.00088
Mark_45         2460438.43709     0.14   0.09   50.17   24.22 -0.00025  0.00090  0.00137  0.00088
Mark_45         2460438.43729     0.10   0.09  -18.30   61.44  0.00077  0.00091 -0.00057  0.00089
Mark_45         2460438.43749     0.20   0.09   22.85   15.02  0.00139  0.00090  0.00142  0.00089
Mark_47         2460461.31236     0.64   0.22   58.31   10.86 -0.00287  0.00227  0.00573  0.00221
Mark_47         2460461.31271     0.15   0.23   81.38   61.44 -0.00141  0.00226  0.00044  0.00221
Mark_47         2460461.31306     0.51   0.23    3.75   14.75  0.00508  0.00228  0.00067  0.00221
Mark_47         2460461.31340     0.10   0.22  -45.26   61.44 -0.00001  0.00226 -0.00102  0.00221
Mark_47         2460461.31375     0.37   0.22   54.42   22.44 -0.00119  0.00227  0.00350  0.00221
Mark_47         2460461.31410     0.16   0.22  -17.90   61.44  0.00131  0.00227 -0.00095  0.00220
Mark_47         2460461.31444     0.51   0.22   54.90   14.34 -0.00172  0.00227  0.00478  0.00220
Mark_47         2460461.31479     0.50   0.22   23.18   14.80  0.00346  0.00227  0.00362  0.00220
Mark_47         2460461.31517     0.12   0.22   59.37   61.44 -0.00055  0.00226  0.00101  0.00220
Mark_47         2460461.31552     0.13   0.22   25.70   61.44  0.00081  0.00226  0.00102  0.00220
Mark_47         2460461.31587     0.57   0.22   40.85   12.23  0.00083  0.00226  0.00568  0.00220
Mark_48         2460460.43118     0.63   0.21   83.77   10.65 -0.00611  0.00214  0.00135  0.00209
Mark_48         2460460.43154     0.37   0.21   28.77   20.81  0.00197  0.00212  0.00310  0.00209
